symbol,name
0700,Tencent Holdings
9988,Alibaba Group
0939,China Construction Bank
0941,China Mobile
1299,AIA Group
0388,Hong Kong Exchanges
3690,Meituan
1810,Xiaomi
2318,Ping An Insurance
0005,HSBC Holdings
