symbol,name
005930,Samsung Electronics
000660,SK Hynix
373220,LG Energy Solution
207940,Samsung Biologics
005380,Hyundai Motor
000270,Kia
068270,Celltrion
035420,NAVER
005490,POSCO Holdings
051910,LG Chem
